date,invoice_id,branch,city,customer_type,gender,product_line,unit_price
2019-01-04,731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54
2019-01-04,725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71
2019-01-04,656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42
2019-01-04,132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97
2019-01-04,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17
2019-01-04,672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65
2019-01-05,801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06
2019-01-05,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38
2019-01-05,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69
2019-01-05,841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2
2019-01-05,339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96
2019-01-05,489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88
2019-01-05,144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74
2019-01-05,209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91
2019-01-05,573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9
2019-01-05,843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38
2019-01-05,217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65
2019-01-05,433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89
2019-01-06,704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9
2019-01-06,826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19
2019-01-06,729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47
2019-01-06,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48
2019-01-06,490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34
2019-01-06,662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94
2019-01-06,834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68
2019-01-06,846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57
2019-01-06,852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59
2019-01-07,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12
2019-01-07,390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22
2019-01-07,541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95
2019-01-07,889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14
2019-01-07,566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97
2019-01-07,526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82
2019-01-07,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61
2019-01-07,126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54
2019-01-07,799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72
2019-01-08,674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14
2019-01-08,192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78
2019-01-08,457-13-1708,B,Mandalay,Member,Male,Fashion accessories,65.23
2019-01-08,767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83
2019-01-08,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54
2019-01-08,571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6
2019-01-08,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73
2019-01-08,750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38
2019-01-08,257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23
2019-01-08,490-95-0021,B,Mandalay,Member,Female,Food and beverages,33.21
2019-01-08,241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,49.1
2019-01-08,442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57
2019-01-08,631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31
2019-01-08,124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59
2019-01-08,840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76
2019-01-08,387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5
2019-01-08,845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,72.88
2019-01-08,484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,51.89
2019-01-09,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04
2019-01-09,554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44
2019-01-09,343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85
2019-01-09,370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,49.32
2019-01-09,288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54
2019-01-09,189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37
2019-01-09,867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,15.8
2019-01-09,305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,21.9
2019-01-10,226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78
2019-01-10,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78
2019-01-10,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26
2019-01-10,603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79
2019-01-10,577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49
2019-01-10,887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14
2019-01-10,744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38
2019-01-10,241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86
2019-01-10,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98
2019-01-11,540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94
2019-01-11,478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69
2019-01-11,592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77
2019-01-11,732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79
2019-01-11,406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52
2019-01-11,130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5
2019-01-11,289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33
2019-01-11,746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16
2019-01-12,647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42
2019-01-12,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12
2019-01-12,848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22
2019-01-12,533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07
2019-01-12,296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07
2019-01-12,751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01
2019-01-12,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01
2019-01-12,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67
2019-01-12,852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25
2019-01-12,751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,97.5
2019-01-12,197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56
2019-01-13,397-25-8725,A,Yangon,Member,Female,Health and beauty,39.62
2019-01-13,460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58
2019-01-13,327-40-9673,B,Mandalay,Member,Male,Sports and travel,72.6
2019-01-13,195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01
2019-01-13,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65
2019-01-13,339-38-9982,B,Mandalay,Member,Male,Fashion accessories,59.86
2019-01-13,784-08-0310,C,Naypyitaw,Member,Female,Food and beverages,21.04
2019-01-13,355-34-6244,B,Mandalay,Normal,Male,Food and beverages,72.39
2019-01-13,556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29
2019-01-13,459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46
2019-01-14,451-73-2711,C,Naypyitaw,Normal,Male,Food and beverages,84.83
2019-01-14,588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04
2019-01-14,426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41
2019-01-14,320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81
2019-01-14,868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69
2019-01-14,785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06
2019-01-14,559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75
2019-01-14,592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,31.77
2019-01-14,667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7
2019-01-14,704-10-4056,C,Naypyitaw,Member,Male,Health and beauty,60.47
2019-01-14,359-90-3665,B,Mandalay,Member,Female,Fashion accessories,18.08
2019-01-14,377-79-7592,C,Naypyitaw,Member,Female,Electronic accessories,44.84
2019-01-14,658-66-3967,C,Naypyitaw,Normal,Male,Health and beauty,53.19
2019-01-15,314-23-4520,C,Naypyitaw,Member,Male,Health and beauty,81.23
2019-01-15,744-16-7898,B,Mandalay,Normal,Female,Home and lifestyle,97.37
2019-01-15,301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1
2019-01-15,437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52
2019-01-15,369-82-2676,B,Mandalay,Normal,Male,Electronic accessories,75.66
2019-01-15,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72
2019-01-15,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88
2019-01-15,138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21
2019-01-15,188-55-0967,B,Mandalay,Member,Male,Health and beauty,66.47
2019-01-15,886-54-6089,A,Yangon,Normal,Female,Home and lifestyle,11.43
2019-01-15,450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,17.44
2019-01-15,589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77
2019-01-15,660-29-7083,C,Naypyitaw,Normal,Male,Electronic accessories,55.87
2019-01-16,648-83-1321,A,Yangon,Member,Male,Home and lifestyle,63.56
2019-01-16,234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58
2019-01-16,677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26
2019-01-16,618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18
2019-01-16,347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74
2019-01-16,859-71-0933,C,Naypyitaw,Member,Female,Sports and travel,15.49
2019-01-16,286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,39.21
2019-01-16,842-29-4695,C,Naypyitaw,Member,Male,Sports and travel,17.14
2019-01-16,372-62-5264,C,Naypyitaw,Normal,Female,Food and beverages,52.6
2019-01-16,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36
2019-01-17,670-79-6321,B,Mandalay,Member,Female,Home and lifestyle,94.59
2019-01-17,679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62
2019-01-17,698-98-5964,A,Yangon,Normal,Female,Food and beverages,81.21
2019-01-17,600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92
2019-01-17,101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.82
2019-01-17,349-97-8902,B,Mandalay,Member,Male,Food and beverages,57.89
2019-01-17,445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7
2019-01-17,497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91
2019-01-17,746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52
2019-01-17,200-16-5952,C,Naypyitaw,Member,Male,Food and beverages,65.65
2019-01-17,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72
2019-01-18,166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06
2019-01-18,678-79-0726,C,Naypyitaw,Member,Female,Sports and travel,90.63
2019-01-18,622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42
2019-01-18,562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15
2019-01-18,821-14-9046,B,Mandalay,Member,Female,Fashion accessories,17.48
2019-01-18,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31
2019-01-18,706-36-6154,A,Yangon,Member,Male,Home and lifestyle,19.36
2019-01-18,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79
2019-01-18,781-84-8059,C,Naypyitaw,Normal,Male,Fashion accessories,60.74
2019-01-19,882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26
2019-01-19,125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1
2019-01-19,809-69-9497,A,Yangon,Normal,Female,Home and lifestyle,45.68
2019-01-19,832-51-6761,A,Yangon,Normal,Male,Food and beverages,33.88
2019-01-19,149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19
2019-01-19,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89
2019-01-19,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07
2019-01-19,375-72-3056,B,Mandalay,Normal,Male,Sports and travel,63.06
2019-01-19,761-49-0439,B,Mandalay,Member,Female,Electronic accessories,12.1
2019-01-19,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28
2019-01-19,284-54-4231,C,Naypyitaw,Member,Male,Sports and travel,80.93
2019-01-19,151-27-8496,C,Naypyitaw,Normal,Female,Electronic accessories,56.13
2019-01-19,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18
2019-01-19,482-17-1179,A,Yangon,Member,Male,Electronic accessories,11.94
2019-01-19,728-47-9078,C,Naypyitaw,Member,Male,Food and beverages,59.59
2019-01-19,779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61
2019-01-20,458-10-8612,C,Naypyitaw,Normal,Male,Health and beauty,64.08
2019-01-20,356-44-8813,B,Mandalay,Normal,Male,Home and lifestyle,37.48
2019-01-20,257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,82.93
2019-01-20,760-27-5490,C,Naypyitaw,Normal,Male,Fashion accessories,15.62
2019-01-20,410-67-1709,A,Yangon,Member,Female,Fashion accessories,63.88
2019-01-20,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35
2019-01-20,725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25
2019-01-20,787-87-2010,A,Yangon,Member,Male,Health and beauty,55.5
2019-01-20,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44
2019-01-20,645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14
2019-01-21,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67
2019-01-21,269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17
2019-01-21,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19
2019-01-21,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95
2019-01-21,316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36
2019-01-21,401-18-8016,B,Mandalay,Member,Female,Sports and travel,98.13
2019-01-21,162-65-8559,C,Naypyitaw,Member,Male,Food and beverages,68.98
2019-01-21,462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22
2019-01-22,460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,30.68
2019-01-22,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67
2019-01-22,521-18-7827,C,Naypyitaw,Member,Male,Home and lifestyle,39.39
2019-01-22,563-47-4072,B,Mandalay,Normal,Female,Health and beauty,55.81
2019-01-22,186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,81.51
2019-01-22,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38
2019-01-22,120-54-2248,B,Mandalay,Normal,Female,Food and beverages,28.86
2019-01-23,316-66-3011,A,Yangon,Member,Female,Food and beverages,47.63
2019-01-23,148-41-7930,C,Naypyitaw,Normal,Male,Health and beauty,99.96
2019-01-23,790-38-4466,C,Naypyitaw,Normal,Female,Health and beauty,10.99
2019-01-23,213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06
2019-01-23,160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95
2019-01-23,318-12-0304,A,Yangon,Normal,Male,Fashion accessories,30.61
2019-01-23,740-22-2500,C,Naypyitaw,Normal,Female,Electronic accessories,84.05
2019-01-23,828-46-6863,A,Yangon,Member,Male,Food and beverages,98.53
2019-01-23,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38
2019-01-23,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8
2019-01-23,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25
2019-01-23,434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47
2019-01-23,809-46-1866,A,Yangon,Normal,Male,Health and beauty,58.15
2019-01-23,767-05-1286,C,Naypyitaw,Member,Female,Home and lifestyle,83.77
2019-01-23,604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94
2019-01-23,219-61-4139,C,Naypyitaw,Normal,Male,Electronic accessories,83.08
2019-01-23,477-59-2456,C,Naypyitaw,Normal,Female,Fashion accessories,45.44
2019-01-24,435-13-4908,A,Yangon,Member,Male,Fashion accessories,86.68
2019-01-24,510-79-0415,B,Mandalay,Member,Female,Sports and travel,23.08
2019-01-24,235-06-8510,C,Naypyitaw,Member,Male,Home and lifestyle,85.72
2019-01-24,139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3
2019-01-24,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77
2019-01-24,438-23-1242,B,Mandalay,Normal,Male,Electronic accessories,75.88
2019-01-24,775-72-1988,B,Mandalay,Normal,Male,Home and lifestyle,73.28
2019-01-24,602-16-6955,B,Mandalay,Normal,Female,Sports and travel,76.6
2019-01-24,443-60-9639,C,Naypyitaw,Member,Female,Home and lifestyle,60.87
2019-01-24,789-23-8625,B,Mandalay,Member,Male,Fashion accessories,93.22
2019-01-24,778-34-2523,A,Yangon,Member,Female,Electronic accessories,48.62
2019-01-24,237-44-6163,A,Yangon,Normal,Male,Electronic accessories,10.56
2019-01-24,726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5
2019-01-25,261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96
2019-01-25,283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51
2019-01-25,730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13
2019-01-25,340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05
2019-01-25,307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01
2019-01-25,569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87
2019-01-25,268-03-6164,B,Mandalay,Normal,Male,Health and beauty,96.11
2019-01-25,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43
2019-01-25,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36
2019-01-25,843-73-4724,A,Yangon,Normal,Male,Fashion accessories,74.1
2019-01-25,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62
2019-01-25,288-38-3758,C,Naypyitaw,Member,Female,Fashion accessories,84.87
2019-01-25,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5
2019-01-25,394-55-6384,C,Naypyitaw,Member,Female,Sports and travel,70.19
2019-01-25,824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31
2019-01-25,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23
2019-01-25,856-66-2701,A,Yangon,Member,Male,Home and lifestyle,53.3
2019-01-26,881-41-7302,C,Naypyitaw,Normal,Female,Fashion accessories,64.99
2019-01-26,896-34-0956,A,Yangon,Normal,Male,Fashion accessories,21.32
2019-01-26,308-39-1707,A,Yangon,Normal,Female,Fashion accessories,12.09
2019-01-26,135-13-8269,B,Mandalay,Member,Female,Food and beverages,78.88
2019-01-26,539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54
2019-01-26,794-42-3736,B,Mandalay,Normal,Male,Food and beverages,33.33
2019-01-26,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68
2019-01-26,834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69
2019-01-26,836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37
2019-01-26,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55
2019-01-26,258-69-7810,C,Naypyitaw,Normal,Female,Fashion accessories,36.85
2019-01-26,452-04-8808,B,Mandalay,Normal,Male,Electronic accessories,87.08
2019-01-26,289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37
2019-01-26,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05
2019-01-26,173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95
2019-01-26,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86
2019-01-26,176-78-1170,C,Naypyitaw,Member,Male,Health and beauty,33.81
2019-01-27,394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07
2019-01-27,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22
2019-01-27,325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories,46.57
2019-01-27,869-11-3082,B,Mandalay,Member,Male,Health and beauty,96.16
2019-01-27,862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,90.24
2019-01-27,585-90-0249,A,Yangon,Member,Male,Electronic accessories,73.26
2019-01-27,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25
2019-01-27,624-01-8356,B,Mandalay,Normal,Female,Home and lifestyle,49.01
2019-01-27,595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28
2019-01-27,534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71
2019-01-27,788-07-8452,C,Naypyitaw,Member,Female,Home and lifestyle,24.24
2019-01-27,613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36
2019-01-27,633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03
2019-01-27,620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,69.4
2019-01-28,865-41-9075,A,Yangon,Normal,Male,Food and beverages,11.53
2019-01-28,243-47-2663,C,Naypyitaw,Member,Male,Electronic accessories,18.77
2019-01-28,372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,23.82
2019-01-28,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07
2019-01-28,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97
2019-01-28,430-53-4718,B,Mandalay,Member,Male,Health and beauty,75.37
2019-01-28,390-80-5128,B,Mandalay,Member,Female,Health and beauty,19.15
2019-01-28,699-88-1972,B,Mandalay,Normal,Male,Health and beauty,99.16
2019-01-28,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8
2019-01-28,593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81
2019-01-28,726-29-6793,A,Yangon,Member,Male,Electronic accessories,24.18
2019-01-28,544-55-9589,B,Mandalay,Member,Female,Electronic accessories,21.43
2019-01-28,211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41
2019-01-28,222-42-0244,B,Mandalay,Member,Female,Health and beauty,72.11
2019-01-29,569-76-2760,A,Yangon,Member,Female,Sports and travel,22.01
2019-01-29,110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62
2019-01-29,233-67-5758,C,Naypyitaw,Normal,Male,Health and beauty,40.35
2019-01-29,382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08
2019-01-29,137-63-5492,C,Naypyitaw,Normal,Male,Electronic accessories,58.76
2019-01-29,343-61-3544,B,Mandalay,Member,Male,Sports and travel,26.67
2019-01-29,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24
2019-01-29,862-17-9201,B,Mandalay,Normal,Female,Food and beverages,84.05
2019-01-29,606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15
2019-01-29,816-72-8853,A,Yangon,Member,Female,Sports and travel,27.93
2019-01-29,800-09-8606,A,Yangon,Member,Female,Home and lifestyle,87.37
2019-01-29,575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6
2019-01-30,134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,42.42
2019-01-30,862-29-5914,C,Naypyitaw,Normal,Female,Sports and travel,22.38
2019-01-30,182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65
2019-01-30,804-38-3935,A,Yangon,Member,Male,Electronic accessories,93.78
2019-01-30,283-26-5248,C,Naypyitaw,Member,Female,Food and beverages,98.52
2019-01-30,556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96
2019-01-30,416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03
2019-01-30,664-14-2882,C,Naypyitaw,Member,Female,Home and lifestyle,10.53
2019-01-30,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4
2019-01-31,189-55-2313,C,Naypyitaw,Normal,Female,Fashion accessories,62.18
2019-01-31,583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06
2019-01-31,239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35
2019-01-31,735-32-9839,C,Naypyitaw,Member,Male,Fashion accessories,98.7
2019-01-31,226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75
